114785	solv system polynomi equat .	1
114784	comput select solut polynomi equat .	2
4446	resourc bound combin consensus object .	3
110551	quickstor high perform map object store .	4
953027	effici use process transistor larger chip storag multithread workshop mix logic dram chip comput rememb .	3
73463	scalabl distribut file system .	3
670178	load share heterogen system via weight factor .	3
136663	local problem mobil robot .	5
636034	distribut dynam environ network system manag proc .	3
1080904	use function languag pars semant process ing .	0
370251	o perform analysi perform data immers .	6
330100	build rich larg scale lexic base generat .	5
741864	toward mobil cryptographi .	7
795192	complex ill pose problem numer function analysi optim optim residu algorithm linear oper equat .	2
175216	storag manag knowledg base .	4
931246	general framework knowledg compil .	5
296360	dynam type polymorph languag .	0
51268	revers selfmonitor natur languag generat .	5
51267	revers grammar self monitor gen erat paraphras .	5
262293	use discours analysi automat text generat studi discours cue usag .	5
5981	softwar process processengin process state server approach plan execut coupl vs integr process program .	6
100482	toward databas optim evolut .	4
103549	case base approach intellig inform retriev .	8
103548	retreiv passag inform reduct .	8
681761	cellular local area network qos guarante heterogen traffic .	9
861422	coper cach dynam content distribut web server .	8
497554	failur detect consensus crash recoveri model .	3
355101	flexibl architectur autonom agent .	5
1100753	introduct generat emp .	0
861429	dynam processor schedul client resourc fast multi resolut www imag brows .	8
123855	fast automat check secur protocol .	7
61172	schedul multipl variabl speed machin .	5
594511	perform enhanc genet program .	5
733699	generat optim bilinear multipl algorithm theori implement .	2
131599	hypothesi test error variabl .	5
158516	obtain complet inform incomplet databas .	4
593209	step toward form parallel distribut genet program .	5
25061	region infer von neumann machin via region represent infer .	6
240109	faith simul autonom mobil robot mean model acquisit .	0
25064	foundat implement higher order subtyp .	6
25065	strong type flow direct represent transform .	0
498605	toward interoper reflect common object model static type objectori languag .	0
25068	repres control presenc first class continu .	6
226296	lip face real time tracker .	5
574009	genet program pedestrian .	5
665119	round optim zero knowledg argument base one way function .	7
85352	evolut time space parallel genet algorithm foundat genet algorithm .	5
641537	belief network construct use minimum descript length principl .	5
777223	case studi obsev volum render fetus within pregnant patient .	3
891920	framework catalysi pictori notat formal semant .	0
757210	picard tempor textur model .	4
712121	geocod ing classif er jer sar composit .	5
142095	influenc random delay parallel execut time .	3
1049716	transpar parameter synchron mechan concurr distribut applic .	0
82225	fast approxim algorithm fraction pack cover problem .	5
36709	edg detect use fine grain parallel vlsi .	10
489164	complex type infer higher order type lambda calculi .	2
6791	compil runtim support structur block structur applic .	6
132528	adapt parallel piranha .	3
46135	specifi real time properti metric tempor logic .	2
1015526	compar perform evalu rout protocol mobil ad hoc network .	0
6798	supercomput recycl garbag preliminari experi piranha .	3
56123	reduct preserv fast converg rate averag time .	2
629393	critiqu effect decis support time critic domain .	5
1032091	two dimension scalabl parallel algorithm solut triangular system .	0
226186	provid support effici multicast irregular network network interfac switch technic report osu cisrc tr .	9
33013	learn convent multiag stochast domain use likelihood estim .	5
616778	schedul transact tempor constraint exploit data semant .	4
853114	use neural network identifi jet nucl .	5
165827	structur combinatori problem structur preserv reduct .	5
853116	self organ network extract jet featur .	5
194102	framework studi price integr network .	9
590459	human machin interact intellig robot use natur languag .	5
8804	activ object object behavior pattern concurr program .	6
99991	build qualit model thermodynam process .	5
208207	logic intent belief .	0
853118	langevin updat multilay perceptron .	5
501807	beach activ cach cach dynam content web .	9
272	new robust estim comput vision .	5
241091	tempor decomposit simul time warp oper system .	6
286545	verifi adder circuit use powerlist .	10
195516	lifelong learn perspect mobil robot control .	5
16700	architectur descript interchang languag .	6
922704	block algorithm comput rank reveal qr factor numer algorithm .	0
16702	model distribut softwar architectur .	0
105002	real time cost time uncertainti consensus failur detect .	3
166732	approach combin parallel process heterogen distribut comput system .	3
264347	relat loss bound multiclass regress problem .	5
142966	custom inform extract basi resourc discoveri .	8
46705	cluster travel salesman problem .	5
583938	admiss prune strategi base plan minim plan space plan .	5
284023	neural network construct algorithm trade general learn effici circuit .	5
563246	autom redesign nasa p hyperson inlet use numer optim .	10
250191	effici micropay system base probabilist poll .	7
817721	spars set versus complex class .	2
666796	computingmani face arrang line segment .	2
969498	deriv compil monad semant .	0
144330	util prior concept learn .	5
624721	plan decis make dynam domain .	0
990075	kind adapt cbr system need review current practic .	5
63025	opportun tool high interact distribut parallel comput .	6
104717	correct algorithm reiter theori diagnosi .	5
15480	autom discours generat use discours structur relat .	5
63020	e m chave p c das l leblanc b d marsh m l scott kernel kernel communic share memori multiprocessor .	0
24812	distribut agent architectur univers michigan digit librari .	8
9525	storag subsi tem design larg multimedia server high speed network environ .	1
10701	unwind infer control .	6
478474	uber ein anwendung der mengenlehr auf die theori des schach spiel .	0
963546	motion plan steer constrain robot moder obstacl .	5
9250	distribut process group v kernel .	0
9523	schedul polici demand video server batch .	1
125633	low level interfac high level parallel o .	3
1049564	appli proactor pattern high perform web server .	6
24887	variat theme messag fresh replay .	7
49568	fast barrier synchron wormhol k ari n cube network multidestin worm .	9
333241	deriv without lexic rule .	5
810547	load distribut scalabl web server summer olymp case studi .	3
595808	secret share public reconstruct .	7
21610	reason continu ii full abstract model control .	6
333248	featur base syntax semant interfac alexi manast ramer wlodek zadrozsni ed .	5
818562	linear order strong extension finit branch graph non well found set .	2
690503	lagrangian relax method approxim analyt center polytop .	5
411430	generat macro oper decis theoret plan .	5
669243	perform high speed network o subsystem case studi fibr channel network .	0
270061	sound substitut axiom .	6
334908	high level control implicit surfac charact anim .	1
765677	new approach holograph video .	3
26027	layer extens object orient languag effici parallel comput .	3
128203	learn hierarch rule set .	5
874357	decomposit run time support concurr program languag .	0
81751	stabl parallel algorithm two point boundari valu problem .	0
134345	group membership epidem style .	0
890253	model process use stepwis refin techniqu .	0
154279	interact fur model techniqu .	1
26028	plan extern event .	5
141125	evalu directori protocol medium scale share memori multiprocessor .	3
192799	best move isn optim q learn explor .	0
891078	term declar logic generalis composita .	0
781536	convers simul process pascal construct .	0
125404	new progress anisotrop grid adapt inviscid viscous flow simul .	1
271887	reactiv visual control multipl non holonom robot agent .	5
44791	distribut collabor softwar inspect .	0
44792	cai collabor asynchron inspect softwar .	0
133696	queri size estim use machin learn .	4
768741	linear time algorithm separ quadrat program problem .	5
22874	similar base retriev tool softwar repositori .	5
22875	induct learn case base reason .	5
22876	support flexibl case base reason approach .	5
293285	experiment better perfect guidanc .	5
760539	use music knowledg extract express perform inform audio record .	5
10895	automat differenti fortran program .	10
182067	simpl algorithm nearest neighbor search high dimens .	7
1025738	introduc activ manag object effect autonom distribut manag bring servic peopl .	0
790525	implicit method hazard free two level logic minim .	10
720044	interconnect design deep submicron ic .	10
49303	design implement mar rout testb .	9
24080	automat comput data decomposit multiprocessor .	3
42836	queri reachabl satisfi datalog .	4
42837	constraint redund datalog .	4
760533	blackboard system automat transcript simpl polyphon music .	1
760532	ipus blackboard architectur framework comput auditori scene analysi .	6
708388	asymptot converg analysi inexact proxim point algorithm minim .	0
241850	stabl parallel elimin boundari valu ode .	0
38501	small span theorem p poli ture reduct .	0
38500	almost everywher high nonuniform complex .	0
919159	event abstract model distribut comput .	0
842599	softwar assist directori base cach .	0
38505	pseudorandom generat measur theori natur proof .	2
241851	collect problem gaussian elimin partial pivot unstabl .	0
3513	genesi approach data dissemin advanc travel inform sytem .	0
249504	design implement virtual memori map communic myrinet .	1
3510	adapt wire less inform system .	9
3517	disk air pie sky .	6
3516	sift atool wide area inform dissemin .	8
675378	separ mixtur independ sourc maximum likelihood approach .	0
170935	parallel approach corba .	0
167460	solv graph problem dynam comput structur .	10
390843	separ structur function specif design distribut system .	3
327222	model communic cost multiplex optic switchin g network .	9
218961	control experi mainten compar design pattern simpler solut .	6
800648	anytim famili tractabl proposit reason .	5
90315	share memori versus messag pass iter solut spars irregular problem .	3
927394	descript logic transit role .	0
2684	similar refer shape basi shape represent .	0
295708	short path expand graph .	5
855846	appli static analysi softwar architectur .	6
18242	robot explor map strategi base semant hierarchi spatial represent .	5
270280	pragmat approach compil erlang .	6
2682	represent similar d object discrimin .	5
2683	represent similar chorus prototyp mind machin .	5
70854	sdsi simpl distribut secur infrastructur .	7
14623	use knowledg isol search rout find .	5
71535	embed inod explicit groupi exploit disk bandwidth small file .	10
227262	research develop rhodo multi thread microkernel .	3
202702	improv memori util cach coher directori .	0
851167	continu speech recognit waxholm dialogu system .	5
71533	flux os toolkit reusabl compon os implement .	6
294030	mdl learn probabilist neural network discret problem domain .	5
479788	translat queri combin .	4
600583	select materi effici method spatial data cube construct .	5
294033	trust manag web applic .	7
294035	autom softwar verif trust hardwar .	7
294036	cryptograph verif test coverag claim .	7
91	pattern base packet classifi .	9
95	oper system architectur applic level resourc manag .	10
103543	markov chain mont carlo method base slice densiti function .	5
4527	associ thesaurus inform retriev .	8
147980	interact object orient design pattern program languag .	6
1062137	circuit complex perfect hash .	2
275447	d site map cmu autonom helicopt .	5
547798	abstract general model logic resourc bound believ repres mental state mechanim .	5
1048615	rank radiotherapi treatment plan use decis analyt heurist techniqu clinic decisionsupport system radiat therapi n .	5
13059	compil support garbag collect static type languag .	6
582450	answer network monitor use objectori rule .	5
36150	ensembl learn use decorrel neural network .	5
70486	physic schema larg multidimension array scientif comput applic .	0
13050	treadmil real time garbag collect without motion sick .	6
13051	compact garbag collect ambigu root lisp pointer .	6
83470	improv approxim guarante minimum weight k tree prize collect salesmen .	5
83473	constant factor approxim algorithm k mst problem .	5
241454	develop com paris robust method estim fundament matrix .	0
132344	evalu ah throughput use smartcap .	9
112042	iter method weight least squar .	2
1042472	kapur solv system parametr polynomi equat .	0
987012	distribut knowledg network .	0
243571	fast nonsymmetr iter precondit navier stoke equat .	2
1099528	class petri net model analyz busi process .	0
258944	perform architectur compar risc cisc similar hardwar organ .	10
395725	plate distribut represent nest composit structur .	5
108821	high avail cluster video server ibm research report rc june .	1
747301	ellipt head track use intens gradient color histogram .	5
41566	cryptograph limit learn one claus logic program .	5
324885	ubiquit comput research theme open issu applic perspect .	6
79394	generat program connect physic model .	5
17829	network subsystem design case integr data path .	9
17828	object orient compon high speed network program .	9
610529	visual inform process primat cone pathway part model .	5
91068	combin prior symbol knowledg construct neural network learn .	5
17821	game theoret approach move horizon control .	5
222318	character right hand left hand shape .	5
156656	optim asymmetr encrypt .	7
39196	pattern generat architectur .	0
176005	parallel r tree .	4
805546	line architectur model legal inform .	5
1379	understand planner behavior .	5
183225	generalis model utilis prosod inform continu speech recognit .	5
20251	gdm geometr deform model extract close shape volum data .	0
155418	composit sld deriv abstract .	6
814462	k vehicl rout problem tree m .	9
467809	approxim match hand drawn pictogram .	5
871582	effici design implement permut algorithm memori hierarchi .	0
10710	analyz tabular state transit specif pvs .	5
243766	approxim scheme planar graph tsp .	2
850062	queri contain conjunct queri regular express .	4
29813	toward formal theori communic multiag system .	0
129184	prototyp environ real time system .	3
218550	design implement rsvp base qos architectur integr servic internet .	9
132123	algorithm constraint satisfact problem survey .	5
1060283	properti list experiment comparison new properti editor design m .	0
47219	deal tentat data valu disconnect work group .	0
340294	secur threshold cryptosystem chosen ciphertext attack .	7
1060285	split menus effect use select frequenc organ menus .	1
